Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Fabianski,90,0,0,0,1,0,0,0,0,0,4,0,17,15,3,SWA,2 - 1,MUN,Away,1,GKP,31,Very difficult,448,17,2014/08/16,12:45:00,5,5.3
Williams,90,0,0,0,1,0,0,0,0,0,0,0,13,20,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,449,0.03,2014/08/16,12:45:00,5,5.4
Taylor,52,0,0,0,1,0,0,0,1,0,0,0,10,0,0,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,450,6,2014/08/16,12:45:00,4.5,4.8
Rangel,90,0,0,0,1,0,0,0,0,0,0,0,13,16,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,452,6,2014/08/16,12:45:00,5,4.9
Tiendalli,38,0,0,0,0,0,0,0,0,0,0,0,5,7,1,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,456,1,2014/08/16,12:45:00,4.5,4.3
Amat,90,0,0,0,1,0,0,0,0,0,0,0,17,14,2,SWA,2 - 1,MUN,Away,1,DEF,31,Very difficult,457,3,2014/08/16,12:45:00,4.5,4.1
Sigurdsson,90,1,1,0,1,0,0,0,0,0,0,3,48,38,13,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,381,195,2014/08/16,12:45:00,6,6.5
Routledge,90,0,1,0,1,0,0,0,0,0,0,0,20,13,5,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,460,0.01,2014/08/16,12:45:00,5.5,5.4
Dyer,66,0,0,0,1,0,0,0,1,0,0,0,11,4,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,461,5,2014/08/16,12:45:00,5.5,5.2
Shelvey,90,0,0,0,1,0,0,0,1,0,0,0,13,11,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,465,85,2014/08/16,12:45:00,5.5,5.2
Ki Sung-Yueng,90,1,0,0,1,0,0,0,1,0,0,2,32,31,8,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,471,27,2014/08/16,12:45:00,5,5.1
Montero,24,0,0,0,0,0,0,0,0,0,0,0,7,2,1,SWA,2 - 1,MUN,Away,1,MID,31,Very difficult,537,3,2014/08/16,12:45:00,6,5.4
Bony,76,0,0,0,1,0,0,0,0,0,0,0,21,2,2,SWA,2 - 1,MUN,Away,1,FWD,31,Very difficult,472,84,2014/08/16,12:45:00,8.5,8.1
Gomis,14,0,0,0,0,0,0,0,0,0,0,0,3,1,1,SWA,2 - 1,MUN,Away,1,FWD,31,Very difficult,474,9,2014/08/16,12:45:00,7,6.5
Howard,90,0,0,0,2,0,0,0,0,0,1,0,6,10,1,EVE,2 - 2,LEI,Away,1,GKP,6,Favourable,130,244,2014/08/16,15:00:00,5.5,5.1
Jagielka,90,0,0,0,2,0,0,0,0,0,0,0,14,18,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,132,113,2014/08/16,15:00:00,5.5,5.8
Baines,90,0,0,0,2,0,0,0,0,0,0,0,13,20,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,134,191,2014/08/16,15:00:00,7,7.1
Distin,90,0,1,0,2,0,0,0,0,0,0,0,20,24,4,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,135,43,2014/08/16,15:00:00,5.5,5.2
Coleman,6,0,0,0,1,0,0,0,0,0,0,0,1,4,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,137,63,2014/08/16,15:00:00,7,6.8
Stones,90,0,0,0,2,0,0,0,0,0,0,0,8,18,1,EVE,2 - 2,LEI,Away,1,DEF,6,Favourable,139,21,2014/08/16,15:00:00,5.5,5.2
Pienaar,80,0,1,0,1,0,0,0,0,0,0,1,12,25,6,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,146,13,2014/08/16,15:00:00,6,5.7
Mirallas,10,0,0,0,1,0,0,0,0,0,0,0,2,2,1,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,147,43,2014/08/16,15:00:00,7.5,7.2
McCarthy,90,0,0,0,2,0,0,0,0,0,0,0,9,17,2,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,148,24,2014/08/16,15:00:00,5,4.6
McGeady,84,1,0,0,1,0,0,0,0,0,0,0,20,24,7,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,149,17,2014/08/16,15:00:00,5.5,5.3
Barry,90,0,0,0,2,0,0,0,1,0,0,0,10,13,1,EVE,2 - 2,LEI,Away,1,MID,6,Favourable,151,37,2014/08/16,15:00:00,5,4.7
Lukaku,90,0,0,0,2,0,0,0,0,0,0,0,6,6,2,EVE,2 - 2,LEI,Away,1,FWD,6,Favourable,103,123,2014/08/16,15:00:00,9,8.7
Naismith,90,1,0,0,2,0,0,0,0,0,0,3,27,36,9,EVE,2 - 2,LEI,Away,1,FWD,6,Favourable,152,37,2014/08/16,15:00:00,5,4.7
McGregor,90,0,0,1,0,0,1,0,0,0,5,2,18,42,14,HUL,1 - 0,QPR,Away,1,GKP,6,Favourable,155,27,2014/08/16,15:00:00,5,4.7
Chester,90,1,0,1,0,0,0,0,0,0,0,3,43,48,15,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,158,67,2014/08/16,15:00:00,4.5,4.3
McShane,45,0,0,0,0,0,0,0,0,0,0,0,9,5,1,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,159,18,2014/08/16,15:00:00,4,3.9
Bruce,45,0,0,0,0,0,0,0,0,0,0,0,10,7,1,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,161,196,2014/08/16,15:00:00,4,4
Davies,90,0,0,1,0,0,0,0,1,0,0,0,16,21,5,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,163,47,2014/08/16,15:00:00,5,4.7
Robertson,90,0,0,1,0,0,0,0,0,0,0,1,20,27,7,HUL,1 - 0,QPR,Away,1,DEF,6,Favourable,545,6,2014/08/16,15:00:00,4.5,4.2
Quinn,51,0,1,0,0,0,0,0,0,0,0,0,15,18,4,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,164,3,2014/08/16,15:00:00,4.5,4.4
Meyler,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,166,1,2014/08/16,15:00:00,5,4.7
Elmohamady,90,0,0,1,0,0,0,0,0,0,0,0,18,16,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,167,15,2014/08/16,15:00:00,5,5
Huddlestone,90,0,0,1,0,0,0,0,0,0,0,0,15,17,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,169,28,2014/08/16,15:00:00,5.5,5.3
Livermore,90,0,0,1,0,0,0,0,0,0,0,0,14,13,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,170,13,2014/08/16,15:00:00,5.5,5.1
Ince,81,0,0,1,0,0,0,0,0,0,0,0,34,3,3,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,172,21,2014/08/16,15:00:00,5.5,5
Snodgrass,39,0,0,0,0,0,0,0,0,0,0,0,7,4,1,HUL,1 - 0,QPR,Away,1,MID,6,Favourable,173,14,2014/08/16,15:00:00,6,5.6
Jelavic,90,0,0,1,0,0,0,0,1,0,0,0,4,0,1,HUL,1 - 0,QPR,Away,1,FWD,6,Favourable,174,0.02,2014/08/16,15:00:00,6,5.6
Guzan,90,0,0,1,0,0,0,0,0,0,2,0,15,22,6,AVL,1 - 0,STK,Away,1,GKP,19,Difficult,30,63,2014/08/16,15:00:00,4.5,4.6
Vlaar,90,0,0,1,0,0,0,0,0,0,0,2,12,23,8,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,34,248,2014/08/16,15:00:00,4.5,4.3
Senderos,90,0,0,1,0,0,0,0,0,0,0,0,19,19,6,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,39,7,2014/08/16,15:00:00,4.5,4.3
Hutton,90,0,0,1,0,0,0,0,1,0,0,0,13,16,5,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,539,52,2014/08/16,15:00:00,4,4.3
Cissokho,90,0,0,1,0,0,0,0,0,0,0,0,13,21,6,AVL,1 - 0,STK,Away,1,DEF,19,Difficult,558,9,2014/08/16,15:00:00,4.5,4.4
Delph,90,0,0,1,0,0,0,0,0,0,0,0,11,11,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,40,17,2014/08/16,15:00:00,5,4.8
N'Zogbia,70,0,0,1,0,0,0,0,0,0,0,0,19,2,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,41,4,2014/08/16,15:00:00,5.5,5.2
Westwood,90,0,0,1,0,0,0,0,1,0,0,0,19,8,2,AVL,1 - 0,STK,Away,1,MID,19,Difficult,44,7,2014/08/16,15:00:00,5,4.7
Bacuna,9,0,0,0,0,0,0,0,0,0,0,0,-3,-1,1,AVL,1 - 0,STK,Away,1,MID,19,Difficult,45,3,2014/08/16,15:00:00,5.5,5
Grealish,20,0,0,0,0,0,0,0,0,0,0,0,4,2,1,AVL,1 - 0,STK,Away,1,MID,19,Difficult,49,2,2014/08/16,15:00:00,4.5,4.3
Richardson,90,0,0,1,0,0,0,0,0,0,0,0,20,11,3,AVL,1 - 0,STK,Away,1,MID,19,Difficult,51,3,2014/08/16,15:00:00,5,4.9
Agbonlahor,90,0,0,1,0,0,0,0,1,0,0,0,8,-2,1,AVL,1 - 0,STK,Away,1,FWD,19,Difficult,52,23,2014/08/16,15:00:00,5.5,5
Weimann,81,1,0,1,0,0,0,0,0,0,0,3,33,29,9,AVL,1 - 0,STK,Away,1,FWD,19,Difficult,53,43,2014/08/16,15:00:00,5.5,5.1
Mannone,90,0,0,0,2,0,0,0,0,0,3,0,9,11,2,SUN,2 - 2,WBA,Away,1,GKP,8,Favourable,422,99,2014/08/16,15:00:00,4.5,4.1
O'Shea,90,0,0,0,2,0,0,0,0,0,0,0,6,11,1,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,424,87,2014/08/16,15:00:00,4.5,4.6
Brown,80,0,0,0,2,0,0,0,0,0,0,0,9,14,1,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,425,6,2014/08/16,15:00:00,4.5,4.3
Roberge,90,0,0,0,2,0,0,0,1,0,0,0,2,8,0,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,427,4,2014/08/16,15:00:00,4,4
van Aanholt,90,0,1,0,2,0,0,0,0,0,0,0,15,22,4,SUN,2 - 2,WBA,Away,1,DEF,8,Favourable,541,12,2014/08/16,15:00:00,4.5,4.1
Rodwell,67,0,0,0,1,0,0,0,0,0,0,0,6,7,2,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,243,27,2014/08/16,15:00:00,5,4.7
Johnson,72,0,0,0,1,0,0,0,0,0,0,0,6,8,2,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,429,72,2014/08/16,15:00:00,6.5,5.9
Cattermole,90,1,0,0,2,0,0,0,0,0,0,1,29,25,8,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,430,34,2014/08/16,15:00:00,4.5,4.3
Larsson,90,1,0,0,2,0,0,0,0,0,0,2,34,39,9,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,431,26,2014/08/16,15:00:00,5.5,5.3
Gómez,23,0,0,0,1,0,0,0,0,0,0,0,2,2,1,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,439,3,2014/08/16,15:00:00,5.5,5.1
Buckley,18,0,0,0,1,0,0,0,0,0,0,0,2,2,1,SUN,2 - 2,WBA,Away,1,MID,8,Favourable,568,0,2014/08/16,15:00:00,5.5,5
Wickham,90,0,0,0,2,0,0,0,0,0,0,0,3,8,2,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,440,0.02,2014/08/16,15:00:00,6,5.6
Fletcher,90,0,0,0,2,0,0,0,0,0,0,0,7,5,2,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,441,8,2014/08/16,15:00:00,5.5,5
Altidore,10,0,0,0,0,0,0,0,0,0,0,0,1,3,1,SUN,2 - 2,WBA,Away,1,FWD,8,Favourable,444,4,2014/08/16,15:00:00,5.5,5.1
Lloris,90,0,0,1,0,0,0,0,0,0,4,0,18,24,7,TOT,1 - 0,WHU,Away,1,GKP,10,Favourable,364,85,2014/08/16,15:00:00,5.5,5.4
Rose,90,0,0,1,0,0,0,0,0,0,0,0,18,18,6,TOT,1 - 0,WHU,Away,1,DEF,10,Favourable,366,14,2014/08/16,15:00:00,5,4.8
Kaboul,90,0,0,1,0,0,0,0,0,0,0,1,18,25,7,TOT,1 - 0,WHU,Away,1,DEF,10,Favourable,368,17,2014/08/16,15:00:00,5,4.6
Naughton,28,0,0,0,0,0,0,0,0,1,0,0,2,-7,-2,TOT,1 - 0,WHU,Away,1,DEF,10,Favourable,370,3,2014/08/16,15:00:00,4.5,4
Dier,90,1,0,1,0,0,0,0,0,0,0,3,36,42,15,TOT,1 - 0,WHU,Away,1,DEF,10,Favourable,548,64,2014/08/16,15:00:00,5,4.6
Lennon,60,0,0,1,0,0,0,0,0,0,0,0,6,4,3,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,378,13,2014/08/16,15:00:00,6.5,6.2
Townsend,30,0,0,0,0,0,0,0,0,0,0,0,12,5,1,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,383,9,2014/08/16,15:00:00,6.5,6.2
Capoue,90,0,0,1,0,0,0,0,0,0,0,0,16,16,3,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,385,1,2014/08/16,15:00:00,5,4.8
Lamela,60,0,0,1,0,0,0,0,0,0,0,0,15,8,3,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,386,27,2014/08/16,15:00:00,8,7.4
Eriksen,90,0,0,1,0,0,0,0,0,0,0,0,22,11,3,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,387,129,2014/08/16,15:00:00,8,7.9
Bentaleb,90,0,0,1,0,0,0,0,0,0,0,0,24,15,3,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,388,14,2014/08/16,15:00:00,4.5,4.3
Holtby,30,0,0,0,0,0,0,0,0,0,0,0,6,2,1,TOT,1 - 0,WHU,Away,1,MID,10,Favourable,391,4,2014/08/16,15:00:00,6,5.8
Adebayor,82,0,0,1,0,0,0,0,0,0,0,0,14,3,2,TOT,1 - 0,WHU,Away,1,FWD,10,Favourable,392,33,2014/08/16,15:00:00,8.5,7.9
Kane,8,0,1,0,0,0,0,0,0,0,0,0,8,16,4,TOT,1 - 0,WHU,Away,1,FWD,10,Favourable,393,9,2014/08/16,15:00:00,5,6
Speroni,90,0,0,0,2,0,0,0,0,0,4,0,5,13,2,CRY,1 - 2,ARS,Away,1,GKP,32,Very difficult,104,0.03,2014/08/16,17:30:00,5,4.8
Ward,90,0,0,0,2,0,0,0,0,0,0,0,4,12,1,CRY,1 - 2,ARS,Away,1,DEF,32,Very difficult,106,59,2014/08/16,17:30:00,5,4.7
Delaney,16,0,0,0,1,0,0,0,0,0,0,0,0,4,1,CRY,1 - 2,ARS,Away,1,DEF,32,Very difficult,107,11,2014/08/16,17:30:00,5,4.9
Dann,74,0,0,0,1,0,0,0,0,0,0,0,2,8,2,CRY,1 - 2,ARS,Away,1,DEF,32,Very difficult,112,2,2014/08/16,17:30:00,5,4.9
Kelly,90,0,0,0,2,0,0,0,1,0,0,0,4,6,0,CRY,1 - 2,ARS,Away,1,DEF,32,Very difficult,201,5,2014/08/16,17:30:00,4.5,4.4
Hangeland,90,1,0,0,2,0,0,0,0,0,0,0,21,16,7,CRY,1 - 2,ARS,Away,1,DEF,32,Very difficult,547,16,2014/08/16,17:30:00,5,4.6
Bolasie,90,0,0,0,1,0,0,0,0,0,0,0,3,3,2,CRY,1 - 2,ARS,Away,1,MID,32,Very difficult,114,4,2014/08/16,17:30:00,5.5,5.6
Jedinak,90,0,0,0,2,0,0,0,0,0,0,0,5,16,2,CRY,1 - 2,ARS,Away,1,MID,32,Very difficult,116,12,2014/08/16,17:30:00,5,5
Puncheon,88,0,1,0,2,0,0,0,0,1,0,0,13,5,2,CRY,1 - 2,ARS,Away,1,MID,32,Very difficult,119,44,2014/08/16,17:30:00,6,5.5
O'Keefe,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,CRY,1 - 2,ARS,Away,1,MID,32,Very difficult,121,1,2014/08/16,17:30:00,4.5,4.5
Ledley,90,0,0,0,2,0,0,0,0,0,0,0,5,10,2,CRY,1 - 2,ARS,Away,1,MID,32,Very difficult,125,1,2014/08/16,17:30:00,5.5,5.2
Gayle,6,0,0,0,1,0,0,0,0,0,0,0,0,3,1,CRY,1 - 2,ARS,Away,1,FWD,32,Very difficult,127,6,2014/08/16,17:30:00,5.5,4.5
Chamakh,90,0,0,0,2,0,0,0,1,0,0,0,3,0,1,CRY,1 - 2,ARS,Away,1,FWD,32,Very difficult,129,8,2014/08/16,17:30:00,5.5,5.2
Campbell,84,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,CRY,1 - 2,ARS,Away,1,FWD,32,Very difficult,536,34,2014/08/16,17:30:00,5.5,5
De Gea,90,0,0,0,2,0,0,0,0,0,2,0,4,10,1,MUN,1 - 2,SWA,Home,1,GKP,6,Favourable,257,0.18,2014/08/16,12:45:00,5.5,5.8
Smalling,90,0,0,0,2,0,0,0,0,0,0,0,4,17,1,MUN,1 - 2,SWA,Home,1,DEF,6,Favourable,259,19,2014/08/16,12:45:00,5.5,5.3
Jones,90,0,1,0,2,0,0,0,0,0,0,0,13,28,4,MUN,1 - 2,SWA,Home,1,DEF,6,Favourable,260,81,2014/08/16,12:45:00,5.5,5
Blackett,90,0,0,0,2,0,0,0,1,0,0,0,4,13,0,MUN,1 - 2,SWA,Home,1,DEF,6,Favourable,566,8,2014/08/16,12:45:00,4.5,3.9
Mata,90,0,0,0,2,0,0,0,0,0,0,0,11,12,2,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,267,199,2014/08/16,12:45:00,9,8.5
Fellaini,24,0,0,0,1,0,0,0,0,0,0,0,2,5,1,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,268,4,2014/08/16,12:45:00,6.5,6.4
Nani,45,0,0,0,1,0,0,0,0,0,0,0,5,3,1,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,270,13,2014/08/16,12:45:00,7,7
Fletcher,90,0,0,0,2,0,0,0,0,0,0,0,6,18,2,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,273,11,2014/08/16,12:45:00,5,4.5
Young,90,0,0,0,2,0,0,0,1,0,0,0,11,15,1,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,275,63,2014/08/16,12:45:00,5.5,5.1
Lingard,23,0,0,0,0,0,0,0,0,0,0,0,2,3,1,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,278,3,2014/08/16,12:45:00,4.5,4.3
Januzaj,67,0,0,0,2,0,0,0,0,0,0,0,-3,2,2,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,279,31,2014/08/16,12:45:00,6.5,6.1
Herrera,66,0,0,0,1,0,0,0,0,0,0,0,4,12,2,MUN,1 - 2,SWA,Home,1,MID,6,Favourable,281,88,2014/08/16,12:45:00,7.5,7.2
Hernández,45,0,0,0,1,0,0,0,0,0,0,0,3,2,1,MUN,1 - 2,SWA,Home,1,FWD,6,Favourable,283,0.01,2014/08/16,12:45:00,6,5.9
Rooney,90,1,0,0,2,0,0,0,0,0,0,1,29,30,7,MUN,1 - 2,SWA,Home,1,FWD,6,Favourable,284,481,2014/08/16,12:45:00,10.5,10.6
Schmeichel,90,0,0,0,2,0,0,0,0,0,1,0,7,10,1,LEI,2 - 2,EVE,Home,1,GKP,18,Difficult,178,59,2014/08/16,15:00:00,4.5,4.5
Morgan,90,0,0,0,2,0,0,0,0,0,0,0,5,12,1,LEI,2 - 2,EVE,Home,1,DEF,18,Difficult,180,7,2014/08/16,15:00:00,4.5,4.6
Moore,90,0,0,0,2,0,0,0,1,0,0,0,5,7,0,LEI,2 - 2,EVE,Home,1,DEF,18,Difficult,182,16,2014/08/16,15:00:00,4,3.9
de Laet,90,0,0,0,2,0,0,0,0,0,0,0,8,12,1,LEI,2 - 2,EVE,Home,1,DEF,18,Difficult,183,5,2014/08/16,15:00:00,4.5,4.3
Schlupp,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,LEI,2 - 2,EVE,Home,1,DEF,18,Difficult,184,1,2014/08/16,15:00:00,4.5,4.5
Konchesky,90,0,0,0,2,0,0,0,0,0,0,0,13,18,1,LEI,2 - 2,EVE,Home,1,DEF,18,Difficult,185,3,2014/08/16,15:00:00,4.5,4.4
Drinkwater,38,0,0,0,1,0,0,0,0,0,0,0,3,2,1,LEI,2 - 2,EVE,Home,1,MID,18,Difficult,187,4,2014/08/16,15:00:00,5.5,5
Hammond,52,0,0,0,1,0,0,0,0,0,0,0,8,3,1,LEI,2 - 2,EVE,Home,1,MID,18,Difficult,188,1,2014/08/16,15:00:00,4.5,4.4
Mahrez,90,0,0,0,2,0,0,0,0,0,0,0,11,18,2,LEI,2 - 2,EVE,Home,1,MID,18,Difficult,190,3,2014/08/16,15:00:00,5,4.9
Knockaert,63,0,0,0,2,0,0,0,0,0,0,0,1,2,2,LEI,2 - 2,EVE,Home,1,MID,18,Difficult,191,2,2014/08/16,15:00:00,5.5,5
King,90,0,1,0,2,0,0,0,0,0,0,2,16,27,7,LEI,2 - 2,EVE,Home,1,MID,18,Difficult,192,14,2014/08/16,15:00:00,4.5,4.2
Nugent,90,0,0,0,2,0,0,0,0,0,0,0,7,4,2,LEI,2 - 2,EVE,Home,1,FWD,18,Difficult,195,15,2014/08/16,15:00:00,5.5,4.9
Wood,13,1,0,0,0,0,0,0,0,0,0,0,21,24,5,LEI,2 - 2,EVE,Home,1,FWD,18,Difficult,197,14,2014/08/16,15:00:00,4.5,4.3
Ulloa,77,1,0,0,2,0,0,0,0,0,0,0,33,24,6,LEI,2 - 2,EVE,Home,1,FWD,18,Difficult,532,8,2014/08/16,15:00:00,5.5,5
Green,90,0,0,0,1,0,0,0,0,0,3,0,6,12,3,QPR,0 - 1,HUL,Home,1,GKP,3,Very favourable,318,0.02,2014/08/16,15:00:00,4.5,4.5
Dunne,77,0,0,0,1,0,0,0,1,0,0,0,6,6,1,QPR,0 - 1,HUL,Home,1,DEF,3,Very favourable,320,4,2014/08/16,15:00:00,4.5,4.2
Simpson,67,0,0,0,1,0,0,0,0,0,0,0,3,7,2,QPR,0 - 1,HUL,Home,1,DEF,3,Very favourable,324,3,2014/08/16,15:00:00,4.5,4.1
Ferdinand,90,0,0,0,1,0,0,0,0,0,0,1,4,27,3,QPR,0 - 1,HUL,Home,1,DEF,3,Very favourable,529,72,2014/08/16,15:00:00,4.5,4.2
Caulker,90,0,0,0,1,0,0,0,0,0,0,0,7,13,2,QPR,0 - 1,HUL,Home,1,DEF,3,Very favourable,534,143,2014/08/16,15:00:00,5,4.6
Traore,90,0,0,0,1,0,0,0,0,0,0,0,10,18,2,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,325,6,2014/08/16,15:00:00,4.5,4.3
Faurlin,68,0,0,0,1,0,0,0,0,0,0,0,6,12,2,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,326,3,2014/08/16,15:00:00,4.5,4.2
Barton,90,0,0,0,1,0,0,0,0,0,0,0,4,18,2,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,328,6,2014/08/16,15:00:00,5,4.8
Hoilett,22,0,0,0,0,0,0,0,0,0,0,0,2,5,1,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,331,6,2014/08/16,15:00:00,5,4.3
Phillips,23,0,0,0,0,0,0,0,0,0,0,0,3,4,1,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,333,1,2014/08/16,15:00:00,5,4.6
Mutch,90,0,0,0,1,0,0,0,0,0,0,0,2,3,2,QPR,0 - 1,HUL,Home,1,MID,3,Very favourable,552,0.04,2014/08/16,15:00:00,5.5,5
Remy,90,0,0,0,1,0,0,0,0,0,0,0,18,7,2,QPR,0 - 1,HUL,Home,1,FWD,3,Very favourable,335,61,2014/08/16,15:00:00,7.5,6.9
Zamora,13,0,0,0,0,0,0,0,0,0,0,0,1,3,1,QPR,0 - 1,HUL,Home,1,FWD,3,Very favourable,336,45,2014/08/16,15:00:00,4.5,4.1
Austin,90,0,0,0,1,0,0,1,0,0,0,0,12,-3,0,QPR,0 - 1,HUL,Home,1,FWD,3,Very favourable,337,12,2014/08/16,15:00:00,6,6.1
Begovic,90,0,0,0,1,0,0,0,0,0,1,0,3,9,2,STK,0 - 1,AVL,Home,1,GKP,6,Favourable,395,99,2014/08/16,15:00:00,5,4.8
Shawcross,90,0,0,0,1,0,0,0,0,0,0,0,5,21,2,STK,0 - 1,AVL,Home,1,DEF,6,Favourable,398,63,2014/08/16,15:00:00,5.5,5.3
Wilson,90,0,0,0,1,0,0,0,0,0,0,0,5,15,2,STK,0 - 1,AVL,Home,1,DEF,6,Favourable,400,5,2014/08/16,15:00:00,4.5,4.3
Pieters,90,0,0,0,1,0,0,0,0,0,0,2,6,23,4,STK,0 - 1,AVL,Home,1,DEF,6,Favourable,402,9,2014/08/16,15:00:00,5,4.6
Bardsley,90,0,0,0,1,0,0,0,0,0,0,0,10,6,2,STK,0 - 1,AVL,Home,1,DEF,6,Favourable,404,7,2014/08/16,15:00:00,5,4.9
Ireland,90,0,0,0,1,0,0,0,0,0,0,0,4,9,2,STK,0 - 1,AVL,Home,1,MID,6,Favourable,407,4,2014/08/16,15:00:00,5,4.7
Adam,9,0,0,0,0,0,0,0,0,0,0,0,1,4,1,STK,0 - 1,AVL,Home,1,MID,6,Favourable,408,13,2014/08/16,15:00:00,6,5.4
Whelan,81,0,0,0,1,0,0,0,0,0,0,0,5,16,2,STK,0 - 1,AVL,Home,1,MID,6,Favourable,409,1,2014/08/16,15:00:00,5,4.9
N'Zonzi,90,0,0,0,1,0,0,0,0,0,0,0,14,18,2,STK,0 - 1,AVL,Home,1,MID,6,Favourable,412,3,2014/08/16,15:00:00,5,4.9
Arnautovic,90,0,0,0,1,0,0,0,0,0,0,0,-2,10,2,STK,0 - 1,AVL,Home,1,MID,6,Favourable,417,22,2014/08/16,15:00:00,6.5,6.2
Crouch,20,0,0,0,0,0,0,0,0,0,0,0,1,2,1,STK,0 - 1,AVL,Home,1,FWD,6,Favourable,419,0.03,2014/08/16,15:00:00,6,5.6
Diouf,70,0,0,0,1,0,0,0,0,0,0,0,2,5,2,STK,0 - 1,AVL,Home,1,FWD,6,Favourable,421,5,2014/08/16,15:00:00,6.5,6.1
Bojan,90,0,0,0,1,0,0,0,0,0,0,0,2,6,2,STK,0 - 1,AVL,Home,1,FWD,6,Favourable,533,167,2014/08/16,15:00:00,5.5,4.9
Foster,90,0,0,0,2,0,0,0,0,0,0,0,5,8,1,WBA,2 - 2,SUN,Home,1,GKP,8,Favourable,477,42,2014/08/16,15:00:00,4.5,4.5
Wisdom,90,0,0,0,2,0,0,0,0,0,0,0,8,14,1,WBA,2 - 2,SUN,Home,1,DEF,8,Favourable,207,76,2014/08/16,15:00:00,4,4
Olsson,90,0,0,0,2,0,0,0,1,0,0,0,12,12,0,WBA,2 - 2,SUN,Home,1,DEF,8,Favourable,478,4,2014/08/16,15:00:00,5,4.6
Dawson,90,0,0,0,2,0,0,0,1,0,0,0,6,11,0,WBA,2 - 2,SUN,Home,1,DEF,8,Favourable,480,2,2014/08/16,15:00:00,4.5,4.5
