Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Hernández,37,0,0,0,1,0,0,0,0,0,0,0,5,2,1,MUN,3 - 1,WHU,Home,17,FWD,6,Favourable,265,0,,6
Rooney,90,0,2,0,1,0,0,0,0,0,0,3,37,13,11,MUN,3 - 1,WHU,Home,17,FWD,6,Favourable,266,3,0,217
Welbeck,53,1,1,0,0,0,0,0,0,0,0,3,34,13,11,MUN,3 - 1,WHU,Home,17,FWD,6,Favourable,267,2,1,47
Begovic,90,0,0,0,1,0,0,0,0,0,3,0,16,4,3,STK,2 - 1,AVL,Home,17,GKP,11,Average,345,0,,94
Shawcross,90,0,0,0,1,0,0,0,0,0,0,0,16,3,2,STK,2 - 1,AVL,Home,17,DEF,11,Average,348,0,,94
Wilson,90,0,0,0,1,0,0,0,1,0,0,0,16,1,1,STK,2 - 1,AVL,Home,17,DEF,11,Average,350,0,,0.015
Cameron,90,0,1,0,1,0,0,0,0,0,0,0,25,5,5,STK,2 - 1,AVL,Home,17,DEF,11,Average,351,0,,7
Pieters,90,0,0,0,1,0,0,0,0,0,0,0,9,0,2,STK,2 - 1,AVL,Home,17,DEF,11,Average,352,0,,5
Assaidi,71,0,0,0,1,0,0,0,0,0,0,0,18,5,2,STK,2 - 1,AVL,Home,17,MID,11,Average,208,0,,1
Adam,45,1,0,0,1,0,0,0,0,0,0,2,27,8,8,STK,2 - 1,AVL,Home,17,MID,11,Average,354,1,1,5
Whelan,90,0,0,0,1,0,0,0,0,0,0,0,14,5,2,STK,2 - 1,AVL,Home,17,MID,11,Average,356,0,,1
Walters,90,0,0,0,1,0,0,0,0,0,0,0,14,1,2,STK,2 - 1,AVL,Home,17,MID,11,Average,359,0,,12
N'Zonzi,90,0,0,0,1,0,0,0,0,0,0,0,14,4,2,STK,2 - 1,AVL,Home,17,MID,11,Average,362,0,,0.013
Pennant,19,0,0,0,0,0,0,0,0,0,0,0,5,1,1,STK,2 - 1,AVL,Home,17,MID,11,Average,519,0,,0.01
Arnautovic,45,0,0,0,0,0,0,0,0,0,0,0,12,0,1,STK,2 - 1,AVL,Home,17,MID,11,Average,576,0,,2
Crouch,90,1,1,0,1,0,0,0,0,0,0,3,32,11,12,STK,2 - 1,AVL,Home,17,FWD,11,Average,365,3,0,0.022
Mannone,90,0,0,1,0,0,0,0,0,0,5,3,11,9,10,SUN,0 - 0,NOR,Home,17,GKP,3,Very favourable,368,0,3,32
