Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Kompany,90,1,0,0,2,1,0,0,0,0,0,0,37,5,5,MCI,4 - 2,FUL,Away,17,DEF,11,Average,224,2,-2,39
Clichy,90,0,0,0,2,0,0,0,0,0,0,0,13,5,1,MCI,4 - 2,FUL,Away,17,DEF,11,Average,225,0,,23
Demichelis,90,0,1,0,2,0,0,0,1,0,0,2,32,8,5,MCI,4 - 2,FUL,Away,17,DEF,11,Average,563,0,2,2
Nasri,74,0,0,0,2,0,0,0,0,0,0,0,17,5,2,MCI,4 - 2,FUL,Away,17,MID,11,Average,230,0,,0.073
Silva,83,0,2,0,2,0,0,0,0,0,0,2,32,8,10,MCI,4 - 2,FUL,Away,17,MID,11,Average,231,0,2,56
Yaya Touré,90,1,0,0,2,0,0,0,0,0,0,3,37,9,10,MCI,4 - 2,FUL,Away,17,MID,11,Average,232,2,1,0.416
Milner,16,1,0,0,0,0,0,0,0,0,0,0,22,7,6,MCI,4 - 2,FUL,Away,17,MID,11,Average,234,0,,7
Javi García,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,MCI,4 - 2,FUL,Away,17,MID,11,Average,237,0,,2
Navas,33,1,0,0,1,0,0,0,0,0,0,2,21,8,8,MCI,4 - 2,FUL,Away,17,MID,11,Average,238,0,2,21
Fernandinho,90,0,0,0,2,0,0,0,0,0,0,0,18,3,2,MCI,4 - 2,FUL,Away,17,MID,11,Average,239,0,,12
Dzeko,57,0,0,0,1,0,0,0,0,0,0,0,18,1,1,MCI,4 - 2,FUL,Away,17,FWD,11,Average,240,0,,0.045
Negredo,90,0,1,0,2,0,0,0,0,0,0,0,35,6,5,MCI,4 - 2,FUL,Away,17,FWD,11,Average,502,0,,0.15
Marshall,90,0,0,0,3,0,0,0,0,0,4,0,6,4,2,CAR,1 - 3,LIV,Away,17,GKP,29,Very difficult,55,0,,49
Taylor,90,0,0,0,3,0,0,0,0,0,0,0,6,2,1,CAR,1 - 3,LIV,Away,17,DEF,29,Very difficult,58,0,,2
Turner,90,0,0,0,3,0,0,0,0,0,0,0,15,3,1,CAR,1 - 3,LIV,Away,17,DEF,29,Very difficult,60,0,,55
Caulker,90,0,0,0,3,0,0,0,0,0,0,0,-3,2,1,CAR,1 - 3,LIV,Away,17,DEF,29,Very difficult,429,0,,57
Théophile,90,0,0,0,3,0,0,0,0,0,0,0,3,2,1,CAR,1 - 3,LIV,Away,17,DEF,29,Very difficult,565,0,,1
Whittingham,90,0,1,0,3,0,0,0,0,0,0,1,17,10,6,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,63,0,1,0.07
Kim Bo-Kyung,36,0,0,0,0,0,0,0,0,0,0,0,2,0,1,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,66,0,,4
Noone,90,0,0,0,3,0,0,0,0,0,0,0,8,0,2,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,67,0,,0
Gunnarsson,79,0,0,0,3,0,0,0,0,0,0,0,7,3,2,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,68,0,,0.009
Mutch,90,1,0,0,3,0,0,0,0,0,0,0,17,6,7,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,69,0,,19
Medel,54,0,0,0,3,0,0,0,0,0,0,0,2,1,1,CAR,1 - 3,LIV,Away,17,MID,29,Very difficult,534,0,,3
